aarch64_cortex-a53 bcm27xx/bcm2710
aarch64_cortex-a72 bcm27xx/bcm2711
aarch64_generic armsr/armv8
arm_arm1176jzf-s_vfp bcm27xx/bcm2708
arm_arm926ej-s at91/sam9x
arm_cortex-a15_neon-vfpv4 armsr/armv7
arm_cortex-a5_vfpv4 at91/sama5
arm_cortex-a7 mediatek/mt7629
arm_cortex-a7_neon-vfpv4 bcm27xx/bcm2709
arm_cortex-a7_vfpv4 at91/sama7
arm_cortex-a8_vfpv3 sunxi/cortexa8
arm_cortex-a9 bcm53xx/generic
arm_cortex-a9_neon imx/cortexa9
arm_cortex-a9_vfpv3-d16 mvebu/cortexa9
arm_fa526 gemini/generic
arm_mpcore oxnas/ox820
arm_xscale kirkwood/generic
i386_pentium-mmx x86/geode
i386_pentium4 x86/generic
mips64_octeonplus octeon/generic
mips_24kc ath79/generic
mips_4kec realtek/rtl838x
mips_mips32 bcm63xx/generic
mipsel_24kc ramips/mt7620
mipsel_24kc_24kf pistachio/generic
mipsel_74kc bcm47xx/mips74k
mipsel_mips32 bcm47xx/generic
powerpc_464fp apm821xx/nand
powerpc_8548 mpc85xx/p1010
riscv64_riscv64 sifiveu/generic
x86_64 x86/64
